plot,type,vector,start,end,walker,person
1,open,wind,5,0,haiyin,sarahwind
1,open,walk,5,4,haiyin,haiyinwalk
1,open,wind,5,2,haiyin,sarahwind
1,open,walk,5,3,haiyin,haiyinwalk
1,open,wind,5,2,haiyin,sarahwind
1,open,walk,5,4,haiyin,haiyinwalk
2,forest,wind,5,0,haiyin,sarahwind
2,forest,walk,5,3,haiyin,haiyinwalk
2,forest,wind,5,1,haiyin,sarahwind
2,forest,walk,5,4,haiyin,haiyinwalk
2,forest,wind,5,1,haiyin,sarahwind
2,forest,walk,5,4,haiyin,haiyinwalk
3,open,wind,5,3,haiyin,sarahwind
3,open,walk,5,3,haiyin,haiyinwalk
3,open,wind,5,0,haiyin,sarahwind
3,open,walk,5,5,haiyin,haiyinwalk
3,open,wind,5,0,haiyin,sarahwind
3,open,walk,5,3,haiyin,haiyinwalk
4,forest,wind,5,1,sarah,haiyinwind
4,forest,walk,5,2,sarah,sarahwalk
4,forest,wind,5,0,sarah,haiyinwind
4,forest,walk,5,2,sarah,sarahwalk
4,forest,wind,5,2,sarah,haiyinwind
4,forest,walk,5,3,sarah,sarahwalk
5,open,wind,5,2,sarah,haiyinwind
5,open,walk,5,0,sarah,sarahwalk
5,open,wind,5,1,sarah,haiyinwind
5,open,walk,5,2,sarah,sarahwalk
5,open,wind,5,3,sarah,haiyinwind
5,open,walk,5,2,sarah,sarahwalk
6,forest,wind,5,0,haiyin,sarahwind
6,forest,walk,5,4,haiyin,haiyinwalk
6,forest,wind,5,2,haiyin,sarahwind
6,forest,walk,5,4,haiyin,haiyinwalk
6,forest,wind,5,1,haiyin,sarahwind
6,forest,walk,5,5,haiyin,haiyinwalk
7,open,wind,5,4,haiyin,sarahwind
7,open,walk,5,5,haiyin,haiyinwalk
7,open,wind,5,5,haiyin,sarahwind
7,open,walk,5,3,haiyin,haiyinwalk
7,open,wind,5,1,haiyin,sarahwind
7,open,walk,5,4,haiyin,haiyinwalk
8,forest,wind,5,3,sarah,haiyinwind
8,forest,walk,5,4,sarah,sarahwalk
8,forest,wind,5,4,sarah,haiyinwind
8,forest,walk,5,2,sarah,sarahwalk
8,forest,wind,5,5,sarah,haiyinwind
8,forest,walk,5,2,sarah,sarahwalk
9,open,wind,5,0,sarah,haiyinwind
9,open,walk,5,4,sarah,sarahwalk
9,open,wind,5,0,sarah,haiyinwind
9,open,walk,5,2,sarah,sarahwalk
9,open,wind,5,0,sarah,haiyinwind
9,open,walk,5,2,sarah,sarahwalk
10,forest,wind,5,1,sarah,haiyinwind
10,forest,walk,5,2,sarah,sarahwalk
10,forest,wind,5,0,sarah,haiyinwind
10,forest,walk,5,2,sarah,sarahwalk
10,forest,wind,5,4,sarah,haiyinwind
10,forest,walk,5,1,sarah,sarahwalk
11,open,wind,5,1,haiyin,sarahwind
11,open,walk,5,5,haiyin,haiyinwalk
11,open,wind,5,1,haiyin,sarahwind
11,open,walk,5,4,haiyin,haiyinwalk
11,open,wind,5,0,haiyin,sarahwind
11,open,walk,5,5,haiyin,haiyinwalk
12,forest,wind,5,3,haiyin,sarahwind
12,forest,walk,5,3,haiyin,haiyinwalk
12,forest,wind,5,5,haiyin,sarahwind
12,forest,walk,5,2,haiyin,haiyinwalk
12,forest,wind,5,2,haiyin,sarahwind
12,forest,walk,5,5,haiyin,haiyinwalk
13,open,wind,5,1,sarah,haiyinwind
13,open,walk,5,1,sarah,sarahwalk
13,open,wind,5,0,sarah,haiyinwind
13,open,walk,5,5,sarah,sarahwalk
13,open,wind,5,3,sarah,haiyinwind
13,open,walk,5,1,sarah,sarahwalk
14,forest,wind,5,1,sarah,haiyinwind
14,forest,walk,5,2,sarah,sarahwalk
14,forest,wind,5,1,sarah,haiyinwind
14,forest,walk,5,3,sarah,sarahwalk
14,forest,wind,5,0,sarah,haiyinwind
14,forest,walk,5,3,sarah,sarahwalk
15,open,wind,5,5,haiyin,sarahwind
15,open,walk,5,4,haiyin,haiyinwalk
15,open,wind,5,1,haiyin,sarahwind
15,open,walk,5,4,haiyin,haiyinwalk
15,open,wind,5,0,haiyin,sarahwind
15,open,walk,5,5,haiyin,haiyinwalk
16,forest,wind,5,4,haiyin,sarahwind
16,forest,walk,5,1,haiyin,haiyinwalk
16,forest,wind,5,2,haiyin,sarahwind
16,forest,walk,5,3,haiyin,haiyinwalk
16,forest,wind,5,1,haiyin,sarahwind
16,forest,walk,5,3,haiyin,haiyinwalk
17,open,wind,5,0,sarah,haiyinwind
17,open,walk,5,2,sarah,sarahwalk
17,open,wind,5,0,sarah,haiyinwind
17,open,walk,5,3,sarah,sarahwalk
17,open,wind,5,0,sarah,haiyinwind
17,open,walk,5,1,sarah,sarahwalk
18,forest,wind,5,1,sarah,haiyinwind
18,forest,walk,5,1,sarah,sarahwalk
18,forest,wind,5,0,sarah,haiyinwind
18,forest,walk,5,2,sarah,sarahwalk
18,forest,wind,5,0,sarah,haiyinwind
18,forest,walk,5,3,sarah,sarahwalk
19,open,wind,5,0,haiyin,sarahwind
19,open,walk,5,4,haiyin,haiyinwalk
19,open,wind,5,0,haiyin,sarahwind
19,open,walk,5,3,haiyin,haiyinwalk
19,open,wind,5,1,haiyin,sarahwind
19,open,walk,5,1,haiyin,haiyinwalk
20,forest,wind,5,0,haiyin,sarahwind
20,forest,walk,5,5,haiyin,haiyinwalk
20,forest,wind,5,1,haiyin,sarahwind
20,forest,walk,5,4,haiyin,haiyinwalk
20,forest,wind,5,0,haiyin,sarahwind
20,forest,walk,5,4,haiyin,haiyinwalk
21,open,wind,5,3,sarah,haiyinwind
21,open,walk,5,3,sarah,sarahwalk
21,open,wind,5,3,sarah,haiyinwind
21,open,walk,5,4,sarah,sarahwalk
21,open,wind,5,3,sarah,haiyinwind
21,open,walk,5,3,sarah,sarahwalk
22,forest,wind,5,0,sarah,haiyinwind
22,forest,walk,5,3,sarah,sarahwalk
22,forest,wind,5,0,sarah,haiyinwind
22,forest,walk,5,3,sarah,sarahwalk
22,forest,wind,5,0,sarah,haiyinwind
22,forest,walk,5,1,sarah,sarahwalk
23,open,wind,5,1,haiyin,sarahwind
23,open,walk,5,3,haiyin,haiyinwalk
23,open,wind,5,3,haiyin,sarahwind
23,open,walk,5,4,haiyin,haiyinwalk
23,open,wind,5,2,haiyin,sarahwind
23,open,walk,5,3,haiyin,haiyinwalk
24,forest,wind,5,0,haiyin,sarahwind
24,forest,walk,5,4,haiyin,haiyinwalk
24,forest,wind,5,0,haiyin,sarahwind
24,forest,walk,5,4,haiyin,haiyinwalk
24,forest,wind,5,2,haiyin,sarahwind
24,forest,walk,5,3,haiyin,haiyinwalk
25,open,wind,5,2,sarah,haiyinwind
25,open,walk,5,2,sarah,sarahwalk
25,open,wind,5,0,sarah,haiyinwind
25,open,walk,5,1,sarah,sarahwalk
25,open,wind,5,2,sarah,haiyinwind
25,open,walk,5,2,sarah,sarahwalk
26,forest,wind,5,4,sarah,haiyinwind
26,forest,walk,5,2,sarah,sarahwalk
26,forest,wind,5,3,sarah,haiyinwind
26,forest,walk,5,3,sarah,sarahwalk
26,forest,wind,5,1,sarah,haiyinwind
26,forest,walk,5,3,sarah,sarahwalk
27,open,wind,5,3,haiyin,sarahwind
27,open,walk,5,4,haiyin,haiyinwalk
27,open,wind,5,1,haiyin,sarahwind
27,open,walk,5,3,haiyin,haiyinwalk
27,open,wind,5,2,haiyin,sarahwind
27,open,walk,5,3,haiyin,haiyinwalk
28,forest,wind,5,0,haiyin,sarahwind
28,forest,walk,5,5,haiyin,haiyinwalk
28,forest,wind,5,0,haiyin,sarahwind
28,forest,walk,5,5,haiyin,haiyinwalk
28,forest,wind,5,1,haiyin,sarahwind
28,forest,walk,5,4,haiyin,haiyinwalk
29,open,wind,5,3,sarah,haiyinwind
29,open,walk,5,3,sarah,sarahwalk
29,open,wind,5,1,sarah,haiyinwind
29,open,walk,5,0,sarah,sarahwalk
29,open,wind,5,2,sarah,haiyinwind
29,open,walk,5,2,sarah,sarahwalk
30,forest,wind,5,5,sarah,haiyinwind
30,forest,walk,5,4,sarah,sarahwalk
30,forest,wind,5,5,sarah,haiyinwind
30,forest,walk,5,3,sarah,sarahwalk
30,forest,wind,5,2,sarah,haiyinwind
30,forest,walk,5,4,sarah,sarahwalk
